sample,Group
sx42_1,XXF
sx42_2,XYF
sx42_3,XXM
sx42_4,XYM
sx42_5,WTM
sx42_6,XXF
sx42_7,XYF
sx42_8,XXM
sx42_9,WTM
sx42_10,XYM
sx42_11,XXF
sx42_12,XYF
sx42_13,XXM
sx42_14,XYM
sx42_15,WTM
sx42_16,XXF
sx42_17,XXM
sx42_18,XYF
sx42_19,XYM
sx42_20,WTM
sx42_21,XXF
sx42_22,XYF
sx42_23,XYM
sx42_24,XXM
sx42_25,XXF
sx42_26,WTM
sx42_27,XYF
sx42_28,XXM
sx42_29,XYM
sx42_30,XXF
sx42_31,XYF
sx42_32,XXM
sx42_33,XYM
sx42_34,XXF
sx42_35,XYF
sx42_36,XXM
sx42_37,XXF
sx42_38,XYM
sx42_39,XYF
sx42_40,XXM
sx42_41,XYM
sx42_42,XXF
sx42_43,XYF
sx42_44,XXM
sx42_45,XYM
sx42_46,XYF
sx42_47,XXM
sx42_48,XYM